item_id|nama_asli|nama_tempat|latitude|longitude|rating|total_ulasan|price|keyword_ulasan|layanan|url
TOBAREST00001|Damar Toba ~ Lakeside Eatery & Stay|Damar Toba ~ Lakeside Eatery & Stay|2.3404508|99.0480115|4,8|230|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Damar+Toba+~+Lakeside+Eatery+&+Stay
TOBAREST00002|Tepi Danau Bistro|Tepi Danau Bistro|2.3343426|99.0561066|4,2|893|Tidak ada informasi harga|cafe, music, pesan, luas, pemandangan, parkir, nasi goreng, duduk, hotplate, ayam bakar|Tidak ada layanan|https://www.google.com/maps/search/Tepi+Danau+Bistro
TOBAREST00003|Caldera Resto and Coffee|Caldera Resto and Coffee|2.3310672|99.0570638|4,4|034|Tidak ada informasi harga|pemandangan, sawah, cafe, musik, pesan, nasi padang, parkir, masakan padang, danau, santai|Tidak ada layanan|https://www.google.com/maps/search/Caldera+Resto+and+Coffee
TOBAREST00004|Lagos Cafe|Lagos Cafe|2.3456533|99.0784817|4,2|360|Tidak ada informasi harga|harga, hotel, pantai, pemandangan, pesan, pelayanan, standar, kelaparan, 0, nasi goreng|Tidak ada layanan|https://www.google.com/maps/search/Lagos+Cafe
TOBAREST00005|D'Cozy Cafe & Resto, Ajibata, Parapat|D'Cozy Cafe & Resto, Ajibata, Parapat|2.6586165|98.9348414|4,9|120|Rp 25.000–50.000 per orang|Senin, Semua, pelayanan, pelabuhan, makanan, minuman, tangga|Makan di tempat, Bawa pulang|https://www.google.com/maps/search/D'Cozy+Cafe+&+Resto,+Ajibata,+Parapat
TOBAREST00006|Wita Cafe|Wita Cafe|2.3469318|99.0444172|4,0|281|Tidak ada informasi harga|harga, pelayanan, danau, karaoke, ikan bakar, pesan, nasi, air, santai, pemandangan|Tidak ada layanan|https://www.google.com/maps/search/Wita+Cafe
TOBAREST00007|Willem's Resto Cafe & Bar|Willem's Resto Cafe & Bar|2.6739055|98.8375076|4,8|507|Tidak ada informasi harga|sawah, luas, nama, parkir, pemandangan, senyum, musiknya, mba, kangkung, gunung|Tidak ada layanan|https://www.google.com/maps/search/Willem's+Resto+Cafe+&+Bar
TOBAREST00008|Sinar Minang Restaurant & Convention Hall|Sinar Minang Restaurant & Convention Hall|2.3360012|99.0733666|4,4|636|Tidak ada informasi harga|harga, luas, halal, parkir, ruangan, strategis, telur dadar, pertemuan, rendang, pinggir jalan|Tidak ada layanan|https://www.google.com/maps/search/Sinar+Minang+Restaurant+&+Convention+Hall
TOBAREST00009|THE MARIO'S Eatery & Cafe|THE MARIO'S Eatery & Cafe|2.5902803|99.036274|4,2|700|Tidak ada informasi harga|music, luas, jembatan, santai, pesan, sore, estetik, nasi goreng, kolam, pemandangan|Tidak ada layanan|https://www.google.com/maps/search/THE+MARIO'S+Eatery+&+Cafe
TOBAREST00010|Renjana Cafe|Renjana Cafe|2.3347285|99.055828|4,2|115|Tidak ada informasi harga|pesan, danau, harga, pemandangan, musik, seafood, udang, kapal, sop ayam, biji|Tidak ada layanan|https://www.google.com/maps/search/Renjana+Cafe
TOBAREST00011|Biwa Cafe & Resto|Biwa Cafe & Resto|2.6954487|98.922933|4,3|537|Tidak ada informasi harga|parkir, luas, pemandangan, pesan, pelayanan, toilet, pizza, danau, nasi goreng, arah|Tidak ada layanan|https://www.google.com/maps/search/Biwa+Cafe+&+Resto
TOBAREST00012|Restoran Tabo Toko Roti dan Sangrai Kopi|Restoran Tabo Toko Roti dan Sangrai Kopi|2.6706936|98.8555629|4,4|39|Tidak ada informasi harga|harga, hotel, cake, muffin, fish and chips, cottage, konsep, sunset, cafe, vegetarian|Tidak ada layanan|https://www.google.com/maps/search/Restoran+Tabo+Toko+Roti+dan+Sangrai+Kopi
TOBAREST00013|Cafe Hollywood|Cafe Hollywood|2.3270882|99.0499341|4,4|123|Tidak ada informasi harga|musiknya, pelayanan, nasi goreng, sistem, hotel, wort, luas, sambal, harganya|Tidak ada layanan|https://www.google.com/maps/search/Cafe+Hollywood
TOBAREST00014|Vivi Cafe|Vivi Cafe|2.3385734|99.0521785|4,2|104|Tidak ada informasi harga|danau, sambal|Tidak ada layanan|https://www.google.com/maps/search/Vivi+Cafe
TOBAREST00015|Horas Vegetarian Restaurant|Horas Vegetarian Restaurant|2.6687581|98.8583812|4,8|171|Tidak ada informasi harga|danau, kari, rendang, daging palsu, roti chapati, kue keju lemon, bajaj, sandwich gulung, pasta, board game|Tidak ada layanan|https://www.google.com/maps/search/Horas+Vegetarian+Restaurant
TOBAREST00016|Joyce Cafe|Joyce Cafe|2.345497|99.0459873|4,4|24|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Joyce+Cafe
TOBAREST00017|Maruba Restaurant|Maruba Restaurant|2.6749925|98.857881|4,6|173|Tidak ada informasi harga|ikan, batak, danau, harga, sambal, dinner, arsik, panggang, rempah, bajaj|Tidak ada layanan|https://www.google.com/maps/search/Maruba+Restaurant
